,Line Item Quantity,Freight Cost (USD),Vendor,meds
1253,508,11103.234819296562,59,Lisinopril. insulin
1254,25799,11103.234819296562,59,Tylenol cap 600 mg q 6 hr prn
1255,230,6056.76,59,alendronate 70mg once weekly.
1256,615,11103.234819296562,59,bioastin
1257,10000,11103.234819296562,59,Junel birth control
1258,13850,11103.234819296562,59,Dulera
1259,15913,11103.234819296562,59,Womens Energy metabolism & bone support
1260,14700,11103.234819296562,59,Monelukast SOD10 mg 1x daily
1261,1064,944.21,59,Cranberry Caps
1262,450,2650.36,59,TREMFYA
1263,252,14182.54,59,LIQUID PROTEIN
1264,3200,2717.0,59,zonisamide
1265,16,1737.0,59,One day vitamin
1266,526,11103.234819296562,59,Patient has been on Folatyn chemotherapy for lymphoma but off for 2 weeks Trazadone
1267,1341,3478.0,59,magnesium oxide
1268,1717,1157.58,59,Fluticason
1269,1577,13721.28,59,Colace
1270,872,11103.234819296562,59,19th or the week pr
1271,821,549.44,59,Sertraline HCL
1272,614,11103.234819296562,59,Benadryl daily.
1273,600,11103.234819296562,59,probiotics
1274,390,11103.234819296562,59,Taking various meds/antibiotics for UTI
1275,350,11103.234819296562,59,Krill Oil
1276,2623,1007.34,59,Travoprost
1277,5496,25739.49,59,remeron
1278,100,1616.04,59,zofran prn
1279,500,11103.234819296562,59,mometasone inhaler
1280,1,598.08,59,carvedilol 12.5 mg bid
1281,1650,1637.0,59,Ferrous sulfate
1282,44135,13715.55,59,water pill  I drank one cup of Ginger and tumeric herbal tea
1283,42,3393.0,59,iron co-factors
1284,3119,2951.94,59,ACCURETIC
1285,2066,1448.2,59,Vitamin B Complex
1286,219,472.5,59,Neurotin
1287,1184,639.75,59,ZYRTEC
1288,479,5947.88,59,Singular when needed
1289,1926,2511.67,59,400mg Magnesium
1290,627,11103.234819296562,59,I carry an Epi pen.
1291,37240,13317.2,59,co-enzyme Q-10
1292,100,2587.9,59,cimbastatin
1293,213,11103.234819296562,59,Acetazolamide 500MG ER (1 pill) Centrum minis Women 50+ (1 pill) Vitamin D3 2
1294,343,11103.234819296562,59,Thyroid replacement:  ? l-thyroxine 135 mm per day
1295,1692,1722.0,59,cipro
1296,50061,14199.3,59,flovent
1297,591,504.0,59,Furosemide once a day
1298,3150,2559.28,59,Spironolactone 50mg
1299,1600,11103.234819296562,59,VALCYCLOVIR 500
1300,7511,2724.27,59,areds2
1301,1008,11103.234819296562,59,Pimavanserin
1302,44135,12643.63,59,abilify
1303,2273,10654.94,59,000iu folic acid 800mcg vit E 180 mg fish oil 1200 mg
1304,5538,4680.1,59,vitamin c vitamin B
1305,10000,3787.32,59,ATORVASTATIN 20MG DAILY
1306,4300,11103.234819296562,59,fish oil 3600mg 3x
1307,1600,15252.7,59,albuterol. flovent
1308,37240,11103.234819296562,59,OTC Iron
1309,11181,3594.6,59,probiotic supplement
1310,12000,954.13,59,Iron Sulfate
1311,2580,3562.4,59,whey protein
1312,50288,11103.234819296562,59,B-complex and C.       None of my prescriptions have changed for at least 5 years.
1313,1080,8787.28,59,Multivital-M Tablet
1314,20,5226.6,59,vit magnesium
1315,7380,11103.234819296562,59,Move Free Ultra
1316,73012,11053.53,59,venlaxefine
1317,27156,35246.5,59,Bayer 81mg
1318,4332,1890.76,59,vitamin D 3
1319,50000,2348.92,59,timolol
1320,1600,3335.15,59,Tylenol PM
1321,51364,16430.72,59,advair inhaler
1322,40000,6051.02,59,Lisinpril 40mg
1323,25,11103.234819296562,59,Cosopt eye drops twice nailing
1324,160,11340.2,59,vit E
1325,4296,10314.28,59,Vit D No prescriptions
1326,15000,9904.65,59,levothyroxine 175MCG- 2 tablet AM
1327,1061,1054.52,59,Pro-Air inhaler
1328,240,190.06,59,Rial Jelly
1329,760,1917.53,59,Methadone
1330,16,11103.234819296562,59,Oral
1331,1428,4551.52,59,melatonin 10mg prn
1332,65524,32146.52,59,Avapro
1333,37240,11103.234819296562,59,Celebrex
1334,150,1608.7,59,K-Dur
1335,30,774.84,59,CQ10 300 mg
1336,40000,1772.4,59,loratadine prn
1337,66268,22666.98,59,Lovastatin
1338,8000,11103.234819296562,59,lotensin
1339,38975,9161.95,59,Lanaoprost
1340,11640,9043.65,59,Colace with senna
1341,20186,43041.34,59,Quitiapine
1342,15048,3613.31,59,MULT-VITAMIN
1343,720,772.04,59,wellbutrin XL
1344,90323,52979.7,59,and Singulaire
1345,5000,11103.234819296562,59,calcium carbonate
1346,44432,3629.37,59,multivitamin with minerals
1347,35400,14931.8,59,Amlopidine
1348,10000,4401.4,59,Olopatadine
1349,32017,3210.18,59,Amlodipine 5 mg daily
1350,3200,8185.2,59,Symbicort inhaler
1351,21225,14336.95,59,Unknown
1352,20000,13586.1,59,amiodipine 5 mg
1353,76000,35513.01,59,Atorvistatin
1354,50000,3817.12,59,Carbamazepine
1355,80000,11103.234819296562,59,B Vitamin
1356,123317,64506.78,59,albuterol/ipratropium
1357,1893,2408.91,59,Not medicated for seizures
1358,42,845.37,59,Potassium Chloride 10 mEq daily
1359,3271,3409.91,59,Elderberry
1360,325,23866.2,59,oxycodone 10 mg
1361,56,11103.234819296562,59,Rivastigmine
1362,5216,11103.234819296562,59,azathioprine
1363,76000,37040.86,59,7.5 mg= 1 tab
1364,40,1287.77,59,atorvastatin 10mg daily
1365,23524,9021.82,59,Levocetirizine
1366,2,11103.234819296562,59,krill oil
1367,1000,121330.06,59,venlaxefine
1368,5000,8231.95,59,albuterol prn
1369,1000,11103.234819296562,59,PREVACID
1370,12304,21895.01,59,Eye drops for glaucoma
1371,139,13538.35,59,v-d
1372,500,1096.71,59,Spiria
1373,8192,101348.75,59,Mediform
1374,3068,10460.94,59,one tablet by mouth once daily Ativan 0.5 mg. by mouth three times daily
1375,8100,5866.29,59,biotin 5000 MCG
1376,50000,15281.81,59,LEVOTHYROXINE .075MG
1377,32256,22758.49,59,methadone 5mg
1378,2871,6443.61,59,Glucosamine-Chondroit-Vit C-Mn Tablet
1379,5426,11103.234819296562,59,Cymbalta 60mg daily Olive leaf
1380,49385,11492.86,59,Hydrocodone/acetaminophen
1381,12480,8669.38,59,amphetamine-dextroamphetamine 20 mgs
1382,4660,11103.234819296562,59,Vitamin D-3 25 mg 1 PO QD
1383,210,997.46,59,Keppra XR 1500mg daily Synthroid  88mcg Sun
1384,365,11103.234819296562,59,Multi-vitamin
1385,4000,35673.58,59,bupropion HCL
1386,7350,3366.98,59,Acetaminophen 325mg
1387,37440,5873.0,59,000 unit Tab Take 2
1388,15000,11103.234819296562,59,tadalafil 5mg/day
1389,69491,15128.37,59,L-arginine
1390,489,1047.24,59,Midardis 20 mg 1/day. Sim a statin 20 mg 1/day
1391,260,1180.71,59,ADDERALL XR 20 MG 24 hr capsule amphetamine-dextroamphetamine (ADDERALL XR) 5 MG 24 hr capsule cholecalciferol (CHOLECALCIFEROL
1392,90,537.32,59,V12
1393,100,1152.63,59,XARELTO
1394,2106,3599.76,59,magnesium 500mg
1395,150,11103.234819296562,59,thyroid
1396,1250,12798.04,59,metoprolol 25 mg (x2)
1397,100000,15922.67,59,As;rin
1398,5512,7329.83,59,Inhale 2 puffs by mouth every 6 hours as needed for Wheezing
1399,264,1012.18,59,clobetasol propiaonate
1400,105,1053.86,59,Levamir
1401,21765,7329.83,59,Lantis
1402,11216,13293.41,59,Vitamin B complex C
1403,3994,7329.83,59,AMOCILLINE
1404,3000,11103.234819296562,59,LIPITOR 80MG QD
1405,810,1000.51,59,000 IU of Vitamin D once per day.
1406,10480,11032.42,59,Ator
1407,37059,4506.18,59,Fentanyl Transdermal
1408,1092,6811.39,59,Vitamin D3 1000 units daily
1409,2304,11103.234819296562,59,synthroid 75mcg
1410,2052,11103.234819296562,59,Montelukastbupropion
1411,192,1112.31,59,Hyzaar
1412,3740,3054.1,59,clotriamazole cream
1413,8732,7302.48,59,Not medicated for seizures
1414,441,9341.49,59,Tylenol extra strength
1415,576,1234.91,59,CLONAZEPAN;
1416,200,11103.234819296562,59,WELLBUTRIN SR
1417,100,11103.234819296562,59,Na
1418,42,11103.234819296562,59,olmesartan medoxomil
1419,34036,4897.42,59,Omneprazoll
1420,2510,1317.4,59,1000 mg
1421,3,11103.234819296562,59,bisop
1422,1788,1380.45,59,Glucerna
1423,5,19480.97,59,Magnesium 250mg
1424,4350,11103.234819296562,59,Zyrtec 10mg PRN
1425,3024,1448.0,59,CLOBETASOL 0.05% OINTMENT
1426,1217,11103.234819296562,59,Calcium carbonate
1427,6156,11103.234819296562,59,candesartan- hct
1428,528,1619.0,59,SA  500MG
1429,482,11103.234819296562,59,CLA
1430,60,3684.6,59,compazine
1431,100,695.23,59,Sprintec birth control
1432,1260,4251.0,59,80mg aspirin
1433,400,907.41,59,SIMASTATIN 40 MG
1434,1000,18375.7,59,ondansetron
1435,50112,11103.234819296562,59,Osteo BiFlex
1436,10000,3006.0,59,diphenhydramine
1437,5709,6433.28,59,flovent
1438,25003,2912.01,59,cyclonbenzaprine 5mg
1439,460,11103.234819296562,59,Mucinex; Nasocort; Multi vitamin; Fish Oil; Salmon oil (I don't eat fish!!); Big B 100; C; Calcium; CLA; Cranberry; E; Flaxseed
1440,30,947.05,59,Duo-neb
1441,10000,3179.0,59,some herbal products
1442,50549,19288.91,59,Valacyclovir HCL 500 mg 1x daily
1443,4444,11103.234819296562,59,OTC thyroid supplements
1444,4000,3256.0,59,flonase 2sprays each nostril daily
1445,2000,11103.234819296562,59,Bioten
1446,4402,3501.0,59,metaxalone. montelukast
1447,4515,1574.0,59,Reports taking some vitamin supplements and Zyrtec
1448,66370,25729.7,59,fluticasone 50 mcg/spray bid
1449,1200,11103.234819296562,59,magnesium supplement
1450,700,11103.234819296562,59,Cetirizine 10 mg
1451,397,411.07,59,Multi Vitamin
1452,1319,8331.36,59,calciu
1453,1018,11103.234819296562,59,Ocuvitr
1454,3000,4198.0,59,calcifediol
1455,157,2094.0,59,alprazolam 0.5mg. B12 500mcg
1456,86821,14893.0,59,Baby Aspirin
1457,32436,8258.0,59,Restasis emu 0.05%
1458,75,791.84,59,ezetimibe 10mg qhs
1459,400,3438.84,59,Metformin 500 MG 3times a day
1460,150,1676.91,59,CoQ10
1461,12,1607.0,59,Furosemide 40mg
1462,25037,18101.32,59,Wellbutrin XL
1463,23814,5834.0,59,B12 tabs
1464,271,11103.234819296562,59,benadryl
1465,294,632.6,59,Lopinol
1466,1717,11103.234819296562,59,Estradiol 1mg
1467,85000,63886.29,59,000 IU of Vitamin D once per day.
1468,69783,11103.234819296562,59,Methocarbamol
1469,200,25442.0,59,whey protein
1470,60029,11103.234819296562,59,MULTIVITAMIN PO
1471,4286,11103.234819296562,59,Mediform extend relief
1472,2324,11103.234819296562,59,previside
1473,595,1642.0,59,Hx of diabetes
1474,40761,17549.81,59,Dulcolax
1475,52864,19590.04,59,Vitamin d3
1476,500,707.4,59,losardan
1477,400,1161.13,59,Mediform extend relief
1478,24140,3682.34,59,Calcium/Vit D
1479,3300,10137.04,59,Bariatric vitamins
1480,9943,11103.234819296562,59,krill oil
1481,900,919.66,59,325mg ASA
1482,50000,8405.91,59,alpha lipoic acid
1483,3930,11103.234819296562,59,000 unit capsule multivitamin capsule
1484,14000,3452.0,59,Insulin - Novolin 70/30
1485,3996,11103.234819296562,59,Allupurinol
1486,4077,4963.0,59,Dilacor XR
1487,100,11103.234819296562,59,Ibuprophen
1488,995,1392.0,59,levothyroxin
1489,993,3499.1,59,sy nthroid
1490,96,636.52,59,Joint/Flex Vit.
1491,84,11103.234819296562,59,Prolia  AS needed medications: fle
1492,215,11103.234819296562,59,(None)
1493,965,11103.234819296562,59,oral birth control
1494,630,4522.03,59,ETONOGESTROL 68 MG IMPLANT EVERY 3 YEARS
1495,405,3187.18,59,alphgan drops
1496,9692,6346.22,59,gums
1497,3000,26877.3,59,Vitamin D
1498,2925,11103.234819296562,59,Gavipentin
1499,120,11103.234819296562,59,nitrofurantoin
1500,29593,30167.0,59,Synthrod
1501,392,1372.38,59,levothyroxine 175MCG- 2 tablet AM
1502,1128,11103.234819296562,59,Fiber-lax
1503,710,3256.0,59,fosinopril
1504,12107,9307.0,59,OTEZLA
1505,66667,18856.33,59,B-12
1506,2883,11103.234819296562,59,allegra 180mg po qd
1507,5693,8008.65,59,Spiriva Respimat Aerosol Solution 1.25 MCG/ACT (Tiotropium Bromide Monohydrate)
1508,7558,20578.2,59,Hydrochlorothiazide 25 MG once a day
1509,19740,31051.3,59,bumetanide
1510,5809,11103.234819296562,59,coenzyme Q 10
1511,152,798.59,59,thyroid supplement
1512,90955,8654.7,59,Metformin 850mg Bid
1513,84,11103.234819296562,59,Centrum Silver multivitamin
1514,4,11103.234819296562,59,calcium with D
1515,2112,11103.234819296562,59,Atorvastatin Calcium 10MG Oral Tablet 10 MILLIGRAMS ORAL daily at bedtime  Methotrexate 25MG/1ML Injection Solution 1 EACH INJECTION   Omeprazole 20MG Oral Capsule
1516,32358,13332.0,59,Patient has been on Folatyn chemotherapy for lymphoma but off for 2 weeks Trazadone
1517,2100,1280.91,59,Singulair 10 mg
1518,14277,15307.62,59,amlopidine 10 mg
1519,27662,6539.8,59,Glucosamine Sulfate
1520,10,11103.234819296562,59,VitaFusion
1521,1550,11103.234819296562,59,Nasal Spray Flonase
1522,50000,5936.99,59,Diltiazem (BP med)
1523,14044,2963.8,59,oxygen
1524,3885,6299.56,59,Ritalin
1525,1200,11103.234819296562,59,Victoza
1526,16610,3733.57,59,Vitamin K 2600 mcg 1 PO QD
1527,3060,11103.234819296562,59,
1528,1233,11103.234819296562,59,Aspirin-low dose
1529,1887,2446.58,59,Propranolol 120 mg
1530,1566,11103.234819296562,59,Famotadine
1531,1846,3472.55,59,prednisolone
1532,4338,11103.234819296562,59,coQ10
1533,550,939.12,59,otc fiber tabs prn
1534,1800,2185.82,59,followed by fever of 101.1 after tylenol. general fatigue
1535,2700,1476.8,59,metaburn Fluoxetine 20mg Claritin 24 hr 10mg B12 supplement Cal-mag-zinc D3 (2000IU)
1536,1350,1277.22,59,Calcium +D3 800 mg
1537,60000,7053.51,59,Vitamin D 50mcg
1538,2580,1146.27,59,pravastatin 10mg tab
1539,1294,1062.5,59,Sig: Dissolve 1 tablet by mouth every 8 hours as needed for nausea or vomiting STELARA 90 MG/ML SUBQ SYRINGE
1540,6786,2739.3,59,Pravastatin Sodium 20mg
1541,10000,43704.8,59,Selenium sulfide lotion
1542,2410,1409.26,59,Lisinipril 20 mg
1543,11569,8504.72,59,nortryptoline
1544,25,851.24,59,doxycycline.
1545,10000,3238.0,59,SECUKINUMAB 300mg subQ q 28days
1546,4,165.0,59,tadalafil
1547,12000,11103.234819296562,59,monolucast
1548,4000,30585.17,59,0.5mg
1549,4000,1648.64,59,some other vitamins and supplements.
1550,60,2437.63,59,Carvedilol 3.125mg BID
1551,5547,1793.11,59,Biotin
1552,1144,11103.234819296562,59,Cerovite jr.
1553,1044,11103.234819296562,59,Previstatin
1554,4439,6708.25,59,omeprazole and vitamin D
1555,210,11103.234819296562,59,lysine
1556,382,2151.27,59,flaxseed oil and gotu kola)
1557,3014,1755.0,59,TUMS 750mg 1 TID PRN
1558,14405,11103.234819296562,59,LYRICA
1559,45000,11103.234819296562,59,cilostazol
1560,750,188.0,59,Methotrexate
1561,5377,3266.38,59,tradjenta 5mg
1562,11188,9138.0,59,curcumax (ionga root
1563,125009,1012.43,59,Oxycodone 5-20 mg every 3 hours PRN pain
1564,969,1181.41,59,Eye drops for glaucoma
1565,2063,3680.33,59,cymbalta
1566,5800,5127.91,59,Novolog Insulin
1567,80,418.75,59,on cholesterol meds
1568,6385,1762.5,59,LISINOPRIL/HCTZ
1569,3930,11103.234819296562,59,verapamil
1570,53671,15128.37,59,cymbalta
1571,420,3133.23,59,Milk thistle
1572,16698,18638.84,59,breo ellipta
1573,9483,10823.52,59,remeron
1574,867,1954.23,59,lysine with vitamin C supplement
1575,19400,11103.234819296562,59,Claritan
1576,90,11103.234819296562,59,asa 81 mg daily
1577,7044,11103.234819296562,59,Epi Pen
1578,888,11103.234819296562,59,calcium w/ vitamin d
1579,107180,11103.234819296562,59,Pravastatin
1580,4594,11103.234819296562,59,Metropidol
1581,95000,11103.234819296562,59,Olmesartan
1582,11000,7329.83,59,Thrive
1583,76000,14958.2,59,Duloxetine
1584,40000,7329.83,59,Levothyroxine 50mcg daily
1585,6000,11103.234819296562,59,Cranberry Tablets (4200mg x 4)
1586,25000,8502.12,59,20 mg furosemide (lasix)
1587,9560,2787.55,59,Eye Promise Restore Vitamins
1588,296,11103.234819296562,59,Multiple prescription medications
1589,26550,7445.8,59,prochlorperazine 10mg
1590,41948,7445.8,59,Echinacea 450 mg twice daily
1591,240,7445.8,59,vitamin C 1000 mg 1 PO QD
1592,662,7445.8,59,Xanax .5 mg
1593,5010,1854.88,59,insulin
1594,8000,11103.234819296562,59,and nails  Protein supplement -Whey ISO protein powder
1595,8462,7445.71,59,chondroitin 1200mg
1596,374,1799.88,59,PROSCAR
1597,8438,1588.05,59,gabapentin
1598,8662,11103.234819296562,59,Tri-Sprintec
1599,4000,14958.2,59,Flucanizole
1600,60930,9341.49,59,aspirin 81 mg PO tablet
1601,25000,9341.49,59,Lasix 20mg
1602,40000,4997.47,59,Trazodone 75mg QHS
1603,59952,75688.58,59,Curamin
1604,129,11103.234819296562,59,Multivitams
1605,6376,2751.0,59,quetiapine
1606,4000,12205.4,59,toprol XL
1607,370,11103.234819296562,59,calcium carbonate-vitamin D3
1608,33,11103.234819296562,59,Divalproex Sodium Capsule Delayed Release Sprinkle 125 MG
1609,561,1200.12,59,1000u
1610,2703,11103.234819296562,59,One-a-day multivitamin
1611,4500,1931.0,59,Rfl:  ?  Coenzyme Q10 (CO Q 10)
1612,740,1583.0,59,once per day Lisinopril IC
1613,28512,13820.4,59,pain pump
1614,421,516.84,59,tamsulosin 0.4 mg
1615,1181,11103.234819296562,59,Oxycodone HCL ER
1616,452,1250.72,59,lantopro
1617,4000,11931.0,59,Ranibizumab
1618,5000,1684.15,59,Pantoprazole SOD 40 mg Daily
1619,117,11103.234819296562,59,Aspirin 81mg 1 QD
1620,306,11103.234819296562,59,zyprexa
1621,9000,3166.0,59,coreg (generic)
1622,401,1619.0,59,Ropinirole  1 po BID prn
1623,957,1448.0,59,Berbe
1624,4316,15561.0,59,Mercaptopurine
1625,25874,11103.234819296562,59,Bioten
1626,570,505.17,59,food grade  Vit. C
1627,2820,2880.35,59,Biotin 5000 mcg Vitamin C 500 mg Vit D 400 IU Miralax as needed
1628,8347,3908.0,59,Voltaren Gel.
1629,638,11103.234819296562,59,loratadine  10 mg
1630,2000,2805.51,59,lutein 20 mg
1631,60,11103.234819296562,59,Rapatha
1632,200,2129.46,59,500mg Rutin
1633,33333,11103.234819296562,59,met Forman
1634,1110,1603.0,59,synthoid.
1635,850,4613.67,59,Vitamins B-12 9Injection and by month)
1636,570,364.51,59,allegra
1637,79,286.76,59,Spirolactolone
1638,140,11103.234819296562,59,hydrALAZINE HCl Tablet 50 MG  Give 1 tablet by mouth two times a day for HTN related to ESSENTIAL (PRIMARY) HYPERTENSION (I10) Pravastatin Sodium Tablet 10 MG  Give 1 tablet by mouth at bedtime related to HYPERLIPIDEMIA
1639,6452,9343.18,59,ATROVENT HFA
1640,4000,1149.57,59,Mirilax
1641,209,11103.234819296562,59,Norvasc
1642,575,11103.234819296562,59,Desvenlafax
1643,3200,1300.45,59,10 mg lisinopril
1644,422,740.43,59,Low dose ASA
1645,400,6889.0,59,PRADAXA
1646,1000,11103.234819296562,59,ibuprofen 800
1647,1025,5911.5,59,Bactroban
1648,10800,1998.5,59,Ramipril
1649,630,1998.5,59,rosveristatin
1650,10624,13116.0,59,Kclor
1651,7839,11103.234819296562,59,trospium ER pantaprazole
1652,726,11103.234819296562,59,Lipitor Renvela caps
1653,665,2839.2,59,Tiotropium
1654,70000,11103.234819296562,59,Zestril
1655,15960,11103.234819296562,59,prenatal vitamin daily
1656,9050,5181.0,59,atorvastatin 40mg
1657,44135,13484.72,59,Co Q10
1658,229,11103.234819296562,59,hydroxyzine amelate
1659,4000,1871.05,59,Persantine
1660,2950,3094.0,59,YES
1661,595,11103.234819296562,59,guiafenissen prn
1662,1860,5145.86,59,Patient became nauseas
1663,15000,11103.234819296562,59,Flonase (1 puff) each nare.
1664,1200,11103.234819296562,59,vit b
1665,900,11103.234819296562,59,HFA
1666,4500,1566.19,59,Vitamin D3 (2000 IU)
1667,27681,19832.46,59,( such as having an issue with my asthma)
1668,24561,12349.51,59,Calcium-Mag-Zinc tab  daily
1669,37039,11103.234819296562,59,atorvastatin 20 mg lisinopril 10  mg Symbicort inhaler
1670,3027,25563.0,59,Sronyx
1671,1873,11103.234819296562,59,Pre-natal vitamins
1672,17994,6785.1,59,Furosemide 40mg
1673,70000,10666.0,59,cranberry supplement  Fish Oil  Aspirin
1674,13141,10722.75,59,crestor 10 mg daily
1675,25,11103.234819296562,59,Lexapro 20 mg daily
1676,4,11103.234819296562,59,LEVOTHYROXINE; TRAMADOL; PEPCID [ALUMINIUM HYDROXIDE GEL
1677,628,11103.234819296562,59,fluticasone-salmeterol inhaler
1678,1752,11103.234819296562,59,fentanyl patch 72hr 50mcg/hr
1679,2091,33363.16,59,escitalopram 10mg
1680,44135,12492.0,59,Multaq BID
1681,100,870.4,59,Turmuric
1682,70,1542.15,59,Clonidine
1683,451,11103.234819296562,59,sumatriptan
1684,475,1301.0,59,Rytary
1685,17706,6035.4,59,Vitamin C gummy (2 gummies every day)
1686,3508,4641.85,59,Atarax
1687,332,11103.234819296562,59,baby Aspirin
1688,1600,11103.234819296562,59,VITAMIN C
1689,2084,1154.5,59,Complete Multi-Vitamin
1690,600,5531.4,59,Trazadone 25mg evening
1691,2100,11103.234819296562,59,quinipril
1692,535,755.5,59,melatonin and progesterone
1693,37240,11103.234819296562,59,and Singulaire
1694,4394,1628.18,59,Combivent inhaler
1695,792,2047.0,59,Myrbetriq
1696,29500,11339.5,59,MultiVitamin
1697,20000,11103.234819296562,59,Isosorbide mononitrate
1698,1550,1888.48,59,2000 units Vitamin D
1699,2508,12894.85,59,Lasarton
1700,50000,5468.93,59,acid reducer
1701,18760,11103.234819296562,59,Atorvastatin 10 mg tab
1702,17843,19069.17,59,Ipratropium-Albuterol 0.5-2.5 inhalation q 6 hrs
1703,45000,1934.31,59,dolutegravir
1704,20,11103.234819296562,59,coenzyme Q10
1705,164,10098.25,59,oxycodone
1706,49997,14637.0,59,lumigan  eye drops
1707,154,11103.234819296562,59,& Stool softener
1708,98,991.49,59,Bijuva
1709,5730,11103.234819296562,59,preservision
1710,6002,11103.234819296562,59,azelistine
1711,431,5228.67,59,Flintstones complete vitamin
1712,300,11103.234819296562,59,Januvia
1713,105,1015.24,59,plaquenil
1714,1300,11103.234819296562,59,careg
1715,9367,6923.3,59,last dose 7 PM yesterday.
1716,250,1225.42,59,Brio
1717,21000,6074.62,59,Zertec
1718,1450,1472.77,59,Ketacanozole shampoo
1719,34,896.55,59,Lantus 23 units daily
1720,65500,12047.8,59,refresh tears
1721,24345,11103.234819296562,59,IBU
1722,39000,6260.71,59,norvasc 5mg daily
1723,4000,11103.234819296562,59,TBD
1724,60000,11103.234819296562,59,and two (2) over the counter medications  CoQ10 200 mg and Aspirin 81 mg
1725,1530,4220.15,59,000 Units by mouth one time a day.     2/25/2021 at Unknown time ? hydrocortisone
1726,11352,4152.56,59,Dicyclormine HCL
1727,2580,1153.97,59,prednisone 20 mg 3 tabs
1728,5000,1774.3,59,Depkote
1729,8000,29883.7,59,Depacote
1730,2306,1659.48,59,citirizine
1731,5000,11103.234819296562,59,multiple
1732,416,1465.71,59,Lorazepam (1.5mg) May have taken aspirin and a calcium supplement (500mg)
1733,50,978.92,59,metoprolol tart 50mg bid
1734,40454,4060.55,59,2 puffs q am
1735,2523,5698.01,59,Left
1736,15000,21215.4,59,Lovostatin 40 mg
1737,948,4984.4,59,and Vitamin D3
1738,1077,11103.234819296562,59,Alfuzosin
1739,6,11103.234819296562,59,isosorbide
1740,2454,4401.4,59,AREDS 2 - 2 capsules QD
1741,2780,2426.8,59,triamcinolone
1742,26402,6269.7,59,acetaminophen 500mg
1743,76000,11103.234819296562,59,Omperazole
1744,76,747.5,59,renal vitamin
1745,1595,6338.09,59,acidophilus
1746,50000,2938.92,59,Metformin 1000 mg daily
1747,92950,7534.18,59,Irbestartan/hctz 300-12.5mg
1748,1250,157.5,59,Nexium 10 mg
1749,1008,2989.45,59,lo loestrin
1750,3600,11103.234819296562,59,Slisinop
1751,41922,14732.36,59,Citrical with Vit.D
1752,3250,6381.87,59,on chemotherapy
1753,1793,11103.234819296562,59,Vitamin D3 Tablet 25 MCG
1754,4704,11103.234819296562,59,Quetapine 50-100 my qhs
1755,67,4503.0,59,Vit C 1000mg
1756,5919,11103.234819296562,59,monteleukast
1757,100000,14041.17,59,sprintec birth control
1758,58086,9001.03,59,Sertraline 100
1759,7306,11103.234819296562,59,l-cartinene
1760,10000,11103.234819296562,59,Emgality subd monthly
1761,92933,7199.72,59,Milk of Magnesia prn
1762,21542,6381.87,59,Hydroxizine
1763,1511,2202.02,59,Crestor QD
1764,11549,11103.234819296562,59,HCTZ
1765,14668,7876.44,59,LEVOTHYROXINE
1766,131808,8399.76,59,hydrocortisone
1767,1524,11103.234819296562,59,metoclopramide
1768,7000,11103.234819296562,59,Aspirin EC Tablet Delaye
1769,14814,11103.234819296562,59,budesonide 80/formoter 4.5 inhaler 2 puffs twice a day
1770,15,1764.93,59,Hiprex 1gm daily
1771,44440,6120.06,59,Benicar HCTZ Omeprazole Effexor Wellbutrin Singular Zyrtec Vitamin D
1772,15000,8924.98,59,silica
1773,21814,11103.234819296562,59,Vitamin C 1000 mg daily (Spring Valley gummy) Zinc 44 mg daily (Spring Valley gummy) Vitamin D once weekly (Replesta 50
1774,1923,11103.234819296562,59,vit. B-12
1775,3374,2331.03,59,Losartan. One-A-Day multivitamin. Claritin.
1776,1444,11103.234819296562,59,Setraline
1777,8258,29336.46,59,multiple vitamin
1778,27588,14538.36,59,fish oil
1779,11608,11492.86,59,umeclidinium-vilanterol
1780,143,6443.61,59,dyazide
1781,326,6443.61,59,VITAMIN D
1782,873,6443.61,59,Goli Apple Cider Vinegar gummies
1783,288,896.26,59,Ramsulosin 0.4mg daily
1784,32696,7363.73,59,coenzyme Q10
1785,27080,11103.234819296562,59,USP (Twice Weekly) .0375 mg/day Vitamin D3 3000IU
1786,50,286.65,59,progesterone 100mg
1787,5754,3515.96,59,bystolic
1788,108,11103.234819296562,59,Keppra (epilepsy)
1789,1,11103.234819296562,59,100 mg per day 2. Pepcid AC 10 mg per day 3. Combipatch
1790,4860,23441.88,59,FERROUS SULFATE
1791,685,1122.87,59,- Sertraline 100 mg
1792,28454,8288.78,59,triamcinolone topical
1793,7300,11103.234819296562,59,Aspirin - started 6-7 years Atenolol - at least 2 years Estradiol vaginal cream - at least 6 months Eszoclopizone - at least 5 years Ketorolac as needed for at least 3 years ago. Denies having taken it on Dec 17th
1794,477,11103.234819296562,59,too long to list
1795,374,11103.234819296562,59,Women's formula one a day (1 daily)
1796,10371,7493.5,59,Synthroid 50 MCG
1797,24,7329.83,59,Xarelto Calcium
1798,3035,7789.85,59,Finasteride 5mg
1799,36,11103.234819296562,59,Montelukast 10mg
1800,6000,3338.35,59,50 mg daily
1801,7300,11103.234819296562,59,alprazolam 0.25mg Qday
1802,4000,11103.234819296562,59,Humalog insulin
1803,3500,4329.01,59,citrucil
1804,13325,11103.234819296562,59,Losartan. One-A-Day multivitamin. Claritin.
1805,2844,11206.84,59,doxycycline antibiotic
1806,40126,4506.2,59,One-A-Day Vitamin Gummies
1807,2484,2400.25,59,Aleve
1808,370,423.89,59,TIMOLOL
