,ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Suggest count
3028,19512,108-VN-T30,FPQ-8428,SCMS-123530,ASN-14319,Vietnam,PMO - US,Direct Drop,EXW,Air,9/21/11,10/3/11,24-Apr-12,24-Apr-12,24-Apr-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),CLARITON,Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,5451,76859.1,14.1,0.47,Mylan (formerly Matrix) Nashik,Yes,1675,3401.49,126.82,987
3029,19514,116-ZA-T30,FPQ-13973,SCMS-238553,ASN-28021,South Africa,PMO - US,Direct Drop,DDP,Truck,4/30/14,8/28/14,28-Aug-14,28-Aug-14,28-Aug-14,ARV,Adult,PHARMACY DIRECT,FLonase nasal spray,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,16,499.07,31.19,0.52,"Aurobindo Unit III, India",No,3424.441305712492,Freight Included in Commodity Cost,0.51,112
3030,19584,109-TZ-T30,FPQ-9211,SCMS-136930,ASN-14644,Tanzania,PMO - US,Direct Drop,EXW,Air,1/25/12,2/17/12,25-May-12,25-May-12,25-May-12,HRDT,HIV test,"Orgenics, Ltd",Dexilant 60mg,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1337,106960.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,639,12022.17,149.96,788
3031,19620,104-CI-T30,FPQ-6661,SCMS-91830,ASN-9057,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,11/4/10,11/11/10,14-Jan-11,14-Jan-11,14-Jan-11,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),cranberry,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,7320,264691.2,36.16,0.3,ABBVIE Ludwigshafen Germany,Yes,1838,13562.36,436.74,186
3032,19627,111-MZ-T30,FPQ-15324,SCMS-264780,ASN-30261,Mozambique,PMO - US,Direct Drop,EXW,Air,11/12/14,11/19/14,10-Feb-15,10-Feb-15,18-Feb-15,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Ketorolac 0.5% eye drop QD right eye,"Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,,Test kit - Ancillary,1,60,300.0,5.0,5.0,"Alere Medical Co., Ltd.",Yes,3424.441305712492,Invoiced Separately,0.35,111
3033,19630,108-VN-T30,FPQ-10811,SCMS-166140,ASN-17572,Vietnam,PMO - US,Direct Drop,EXW,Air,10/15/12,11/9/12,9-Jan-13,9-Jan-13,9-Jan-13,ARV,Pediatric,Aurobindo Pharma Limited,Lomotil,Lamivudine,Generic,10mg/ml,Oral solution,240,136,251.6,1.85,0.01,"Aurobindo Unit III, India",Yes,173,1079.39,0.31,731
3034,19647,161-ZA-T30,FPQ-7400,SCMS-104240,ASN-12269,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/11/11,3/30/11,18-Nov-11,18-Nov-11,18-Nov-11,ARV,Pediatric,GLAXOSMITHKLINE EXPORT LIMITED,Serevent,Abacavir,Ziagen,20mg/ml,Oral solution,240,20000,185600.0,9.28,0.04,GSK Mississauga (Canada),Yes,7664,17022.13,306.24,25
3035,19656,161-ZA-T30,FPQ-6262,SCMS-84250,ASN-9052,South Africa,PMO - US,Direct Drop,DDP,Ocean,8/31/10,9/21/10,15-Dec-10,15-Dec-10,15-Dec-10,ARV,Adult,STRIDES ARCOLAB LIMITED,BP medication,Lamivudine,Generic,150mg,Tablet,60,168711,416716.17,2.47,0.04,"Strides, Bangalore, India.",Yes,8183,12225.76,898.44,937
3036,19670,116-ZA-T30,FPQ-14942,SCMS-259079,ASN-33852,South Africa,PMO - US,Direct Drop,DDP,Truck,9/11/14,10/9/14,24-Aug-15,24-Aug-15,24-Aug-15,ARV,Adult,PHARMACY DIRECT,Z,Abacavir,Generic,300mg,Tablet,60,82,4392.17,53.56,0.89,"Aurobindo Unit III, India",No,3424.441305712492,Freight Included in Commodity Cost,4.52,173
3037,19685,110-ZM-T30,FPQ-11561,SCMS-183050,ASN-19389,Zambia,PMO - US,Direct Drop,FCA,Air,2/13/13,3/28/13,22-May-13,22-May-13,22-May-13,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),timolol maleate eye drops,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,1500,46230.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,1374,10365.13,57.19,404
3038,19689,116-ZA-T30,FPQ-5630,SCMS-72870,ASN-7106,South Africa,PMO - US,Direct Drop,DDP,Truck,4/30/10,5/5/10,12-May-10,12-May-10,12-May-10,ARV,Pediatric,S. BUYS WHOLESALER,Xulane,Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,50,2037.29,40.75,0.14,ABBVIE (Abbott) Logis. UK,Yes,3424.441305712492,Freight Included in Commodity Cost,4.39,519
3039,19694,102-GY-T30,FPQ-4068,SCMS-52270,ASN-4928,Guyana,PMO - US,Direct Drop,EXW,Air,8/13/09,8/31/09,24-Sep-09,24-Sep-09,24-Sep-09,HRDT,HIV test,"Trinity Biotech, Plc",prenatals,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,2551,81632.0,32.0,1.6,"Trinity Biotech, Plc",Yes,885,11057.25,160.0,402
3040,19696,102-CD-T30,FPQ-9645,SCMS-145470,ASN-15048,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,4/24/12,5/7/12,2-Aug-12,2-Aug-12,2-Aug-12,HRDT,HIV test,"Trinity Biotech, Plc",d and Zinc   Monocycline  . probiotic,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,400,12800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,132,1692.7,17.95,960
3041,19712,108-VN-T30,FPQ-13034,SCMS-210120,ASN-24394,Vietnam,PMO - US,Direct Drop,EXW,Air,10/4/13,10/10/13,23-Apr-14,23-Apr-14,23-Apr-14,ARV,Adult,HETERO LABS LIMITED,tamsulosin 0.4mg,Efavirenz,Generic,600mg,Tablet,30,2516,8151.84,3.24,0.11,Hetero Unit III Hyderabad IN,No,3424.441305712492,See ASN-24394 (ID#:16053),10.08,903
3042,19771,108-VN-T30,FPQ-5317,SCMS-69220,ASN-7411,Vietnam,PMO - US,Direct Drop,FCA,Air,3/22/10,3/31/10,16-Jul-10,16-Jul-10,16-Jul-10,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),demadex,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,5530,454566.0,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,1348,10670.09,980.04,749
3043,19788,161-ZA-T30,FPQ-7175,SCMS-103360,ASN-11433,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,3/24/11,2-Sep-11,14-Sep-11,14-Sep-11,ARV,Pediatric,Aurobindo Pharma Limited,Probiotics,Efavirenz,Generic,50mg,Capsule,30,2247,5482.68,2.44,0.08,"Aurobindo Unit III, India",Yes,3424.441305712492,Freight Included in Commodity Cost,9.05,453
3044,19840,108-VN-T30,FPQ-15040,SCMS-263670,ASN-30942,Vietnam,PMO - US,Direct Drop,EXW,Air,10/30/14,12/8/14,14-Apr-15,14-Apr-15,14-Apr-15,ARV,Adult,HETERO LABS LIMITED,Propranolol 120 mg,Abacavir,Generic,300mg,Tablet,60,1900,21280.0,11.2,0.19,Hetero Unit III Hyderabad IN,Yes,2356,3688.77,21.88,661
3045,19851,114-UG-T30,FPQ-12777,SCMS-202560,ASN-22984,Uganda,PMO - US,Direct Drop,EXW,Air,8/5/13,8/9/13,10-Dec-13,12-Dec-13,13-Dec-13,ARV,Pediatric,Aurobindo Pharma Limited,Lithium 600,Nevirapine,Generic,10mg/ml,Oral suspension,100,11310,14703.0,1.3,0.01,"Aurobindo Unit III, India",Yes,2454,10898.12,18.19,65
3046,19863,116-ZA-T30,FPQ-14942,SCMS-259078,ASN-33470,South Africa,PMO - US,Direct Drop,DDP,Truck,9/11/14,10/9/14,24-Jul-15,24-Jul-15,24-Jul-15,ARV,Adult,PHARMACY DIRECT,cromolyn,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,23,528.93,23.0,0.38,"Aurobindo Unit III, India",No,3424.441305712492,Freight Included in Commodity Cost,0.54,309
3047,19873,116-ZA-T30,FPQ-14942,SCMS-259078,ASN-33470,South Africa,PMO - US,Direct Drop,DDP,Truck,9/11/14,10/9/14,24-Jul-15,24-Jul-15,24-Jul-15,ARV,Adult,PHARMACY DIRECT,Zyprexa,Nevirapine,Generic,200mg,Tablet,60,23,315.96,13.74,0.23,"Aurobindo Unit III, India",No,3424.441305712492,Freight Included in Commodity Cost,0.32,393
3048,19891,161-ZA-T30,FPQ-6262,SCMS-83890,ASN-9513,South Africa,PMO - US,Direct Drop,DDP,Ocean,8/31/10,9/21/10,24-Feb-11,24-Feb-11,24-Feb-11,ARV,Pediatric,CIPLA LIMITED,ibuprofen,Lamivudine,Generic,10mg/ml,Oral solution,240,55000,114400.0,2.08,0.01,"Cipla, Goa, India",Yes,20419,17267.14,246.65,463
3049,19905,108-VN-T30,FPQ-5899,SCMS-77250,ASN-8909,Vietnam,PMO - US,Direct Drop,EXW,Air,6/23/10,7/1/10,8-Dec-10,8-Dec-10,8-Dec-10,ARV,Adult,Aurobindo Pharma Limited,Biotine,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,20000,165000.0,8.25,0.14,"Aurobindo Unit III, India",Yes,1951,13083.7,355.74,874
3050,19924,106-HT-T30,FPQ-15102,SCMS-260780,ASN-31452,Haiti,PMO - US,Direct Drop,EXW,Air,10/10/14,11/5/14,5-May-15,5-May-15,11-May-15,HRDT,HIV test,"Orgenics, Ltd",Symbicort,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,6302,630200.0,100.0,1.0,"Alere Medical Co., Ltd.",Yes,2557,21256.43,741.75,503
3051,19940,108-VN-T30,FPQ-13524,SCMS-226251,ASN-27964,Vietnam,PMO - US,Direct Drop,EXW,Air,2/6/14,6/27/14,3-Nov-14,3-Nov-14,3-Nov-14,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Simethicone,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,20000,129800.0,6.49,0.11,Mylan (formerly Matrix) Nashik,Yes,1725,3273.14,133.43,2
3052,19958,103-KE-T30,FPQ-10018,SCMS-149610,ASN-15368,Kenya,PMO - US,Direct Drop,EXW,Air,6/5/12,6/14/12,9-Jul-12,9-Jul-12,9-Jul-12,HRDT,HIV test,"Orgenics, Ltd",Allegra 1-2 times a day,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1,89.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,985,11034.01,0.12,700
3053,19959,116-ZA-T30,FPQ-13973,SCMS-238555,ASN-29257,South Africa,PMO - US,Direct Drop,DDP,Truck,4/30/14,11/4/14,5-Nov-14,5-Nov-14,5-Nov-14,ARV,Adult,PHARMACY DIRECT,VItamin,Lamivudine,Generic,150mg,Tablet,60,203,1855.98,9.14,0.15,"Aurobindo Unit III, India",Yes,3424.441305712492,Freight Included in Commodity Cost,1.91,805
3054,19977,116-ZA-T30,FPQ-4359,SCMS-54980,ASN-5372,South Africa,PMO - US,Direct Drop,DDP,Truck,10/8/09,10/15/09,21-Oct-09,21-Oct-09,21-Oct-09,ARV,Pediatric,S. BUYS WHOLESALER,ozempic,Lamivudine,Epivir,10mg/ml,Oral solution,240,1000,6669.31,6.67,0.03,GSK Mississauga (Canada),Yes,3424.441305712492,Freight Included in Commodity Cost,13.07,939
3055,19996,119-NA-T30,FPQ-3814,SCMS-47550,ASN-4512,Namibia,PMO - US,Direct Drop,EXW,Air,5/29/09,6/15/09,5-Aug-09,5-Aug-09,5-Aug-09,ARV,Pediatric,CIPLA LIMITED,Nexium,Lamivudine/Nevirapine/Stavudine,Generic,30/50/6mg,Chewable/dispersible tablet - FDC,60,688,1651.2,2.4,0.04,"Cipla, Goa, India",Yes,53,571.53,3.24,212
3056,20044,116-ZA-T30,FPQ-13973,SCMS-238552,ASN-27608,South Africa,PMO - US,Direct Drop,DDP,Truck,4/30/14,8/5/14,5-Aug-14,5-Aug-14,5-Aug-14,ARV,Adult,PHARMACY DIRECT,Lisinopril 20 mg bid,Saquinavir,Invirase,200mg,Capsule,270,30,2177.92,72.6,0.27,Roche Basel,Yes,3424.441305712492,Freight Included in Commodity Cost,2.24,365
3057,20073,133-NG-T30,FPQ-14995,SCMS-260700,ASN-29931,Nigeria,PMO - US,Direct Drop,EXW,Air,9/22/14,10/29/14,19-Jan-15,20-Jan-15,22-Jan-15,HRDT,HIV test,"Orgenics, Ltd",Lexpro,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,3144,279816.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,1276,15681.99,287.65,462
3058,20133,114-UG-T30,FPQ-4185,SCMS-54140,ASN-5318,Uganda,PMO - US,Direct Drop,FCA,Air,9/8/09,9/30/09,4-Nov-09,4-Nov-09,4-Nov-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Daily - Vitamin C,Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,60,2169.6,36.16,0.3,ABBVIE Ludwigshafen Germany,Yes,36,814.04,4.25,692
3059,20172,111-MZ-T30,FPQ-10880,SCMS-164000,ASN-18532,Mozambique,PMO - US,Direct Drop,EXW,Air,10/18/12,11/6/12,20-Mar-13,21-Mar-13,21-Mar-13,HRDT,HIV test,"Orgenics, Ltd",bid; Cetirizine 10mg; hs; CoQ 10 100 mg,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2939,235120.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1330,13801.89,290.84,30
3060,20185,105-SS-T30,FPQ-14470,SCMS-245260,ASN-29409,South Sudan,PMO - US,Direct Drop,EXW,Air,6/17/14,6/30/14,22-Dec-14,22-Dec-14,13-Jan-15,HRDT,HIV test - Ancillary,"Orgenics, Ltd",sildenafil 60mg PRN,"Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,,Test kit - Ancillary,1,160,800.0,5.0,5.0,"Alere Medical Co., Ltd.",Yes,149,2084.52,0.82,600
3061,20219,108-VN-T30,FPQ-10286,SCMS-156310,ASN-17176,Vietnam,PMO - US,Direct Drop,EXW,Air,7/25/12,8/15/12,14-Dec-12,14-Dec-12,14-Dec-12,ARV,Adult,HETERO LABS LIMITED,sudafed PE as needed,Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10158,71918.64,7.08,0.12,Hetero Unit III Hyderabad IN,Yes,941,1934.17,100.83,30
3062,20236,101-CD-T30,FPQ-14255,SCMS-239810,ASN-27324,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,5/15/14,5/19/14,30-Sep-14,30-Sep-14,21-Oct-14,ARV,Pediatric,Aurobindo Pharma Limited,Tylenol as needed,Didanosine,Generic,200mg,Delayed-release capsules,30,550,6050.0,11.0,0.37,"Aurobindo Unit III, India",No,3424.441305712492,See ASN-27324 (ID#:13842),6.22,213
3063,20239,107-RW-T30,FPQ-8742,SCMS-137421,ASN-15443,Rwanda,PMO - US,Direct Drop,EXW,Air,12/7/11,6/14/12,20-Jul-12,20-Jul-12,20-Jul-12,ARV,Adult,HETERO LABS LIMITED,ESCITALOPRAM,Efavirenz,Generic,600mg,Tablet,30,20370,72720.9,3.57,0.12,Hetero Unit III Hyderabad IN,Yes,1751,13244.8,101.95,481
3064,20245,102-SZ-T30,FPQ-10537,SCMS-159081,ASN-19430,Swaziland,PMO - US,Direct Drop,EXW,Air,8/23/12,9/12/12,21-May-13,21-May-13,21-May-13,HRDT,HIV test,"Trinity Biotech, Plc",75 mcg= 1 tab,"HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,150,4800.0,32.0,1.6,"Trinity Biotech, Plc",Yes,58,642.05,6.73,32
3065,20264,107-RW-T30,FPQ-12518,SCMS-198222,ASN-24715,Rwanda,PMO - US,Direct Drop,EXW,Air,6/21/13,8/12/13,27-Mar-14,27-Mar-14,27-Mar-14,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",budesonide nasal spray,"HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,,Test kit,1,2988,73206.0,24.5,24.5,"KHB Test Kit Facility, Shanghai China",Yes,1992,26266.34,90.56,283
3066,20266,114-UG-T30,FPQ-9365,SCMS-142320,ASN-15425,Uganda,PMO - US,Direct Drop,DDP,Air,3/15/12,4/17/12,5-Jul-12,5-Jul-12,5-Jul-12,ARV,Adult,ASPEN PHARMACARE,Acetaminophen 500 mg,Etravirine,Intelence,100mg,Tablet,120,150,11250.0,75.0,0.62,"Janssen-Cilag, Latina, IT",Yes,49,475,15.77,647
3067,20274,108-VN-T30,FPQ-13976,SCMS-236060,ASN-27814,Vietnam,PMO - US,Direct Drop,EXW,Air,4/8/14,4/30/14,22-Sep-14,15-Sep-14,17-Sep-14,ARV,Adult,HETERO LABS LIMITED,Dexamethasone 4 mg daily (for itching related to renal failure),Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,17280,181440.0,10.5,0.35,Hetero Unit III Hyderabad IN,Yes,2401,3701.66,186.52,110
3068,20280,123-NG-T30,FPQ-4066,SCMS-51270,ASN-5524,Nigeria,PMO - US,Direct Drop,FCA,Air,8/3/09,8/12/09,15-Dec-09,15-Dec-09,15-Dec-09,ARV,Adult,Hoffmann-La Roche ltd Basel,and 81mg aspirin;  On the morning of February 22 I took Lomotil,Saquinavir,Invirase,500mg,Tablet,120,500,47667.85,95.34,0.79,Roche Basel,Yes,83,852.02,93.43,126
3069,20291,116-ZA-T30,FPQ-5535,SCMS-71370,ASN-7373,South Africa,PMO - US,Direct Drop,DDP,Truck,4/19/10,4/21/10,31-May-10,31-May-10,31-May-10,ARV,Adult,S. BUYS WHOLESALER,once daily in evening Zomig,Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,540,25796.95,47.77,1.59,"Aspen-OSD, Port Elizabeth, SA",No,3424.441305712492,Freight Included in Commodity Cost,55.62,19
3070,20294,110-ZM-T30,FPQ-12662,SCMS-202390,ASN-23686,Zambia,PMO - US,Direct Drop,EXW,Air,7/22/13,8/12/13,14-Feb-14,14-Feb-14,18-Feb-14,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),I consumed two Clonidine(10mg) due to Blood Pressure(BP) being elevated.,Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,300000,1722000.0,5.74,0.19,Mylan (formerly Matrix) Nashik,Yes,24233,119474.09,2130.11,685
3071,20319,110-ZM-T30,FPQ-14236,SCMS-239740,ASN-26572,Zambia,PMO - US,Direct Drop,EXW,Air,5/2/14,5/20/14,12-Sep-14,12-Sep-14,17-Sep-14,HRDT,HIV test,"Orgenics, Ltd",Blood pressure medication,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,6000,480000.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,2439,30885.26,493.44,687
3072,20321,108-VN-T30,FPQ-9576,SCMS-145310,ASN-16124,Vietnam,PMO - US,Direct Drop,EXW,Air,4/11/12,6/11/12,2-Oct-12,2-Oct-12,2-Oct-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Berberine,Abacavir,Generic,300mg,Tablet,60,331,4220.25,12.75,0.21,Mylan (formerly Matrix) Nashik,Yes,2951,7211.04,5.92,667
3073,20349,108-VN-T30,FPQ-9576,SCMS-145310,ASN-16124,Vietnam,PMO - US,Direct Drop,EXW,Air,4/11/12,6/11/12,2-Oct-12,2-Oct-12,2-Oct-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Miralax,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,30704,137860.96,4.49,0.15,Mylan (formerly Matrix) Nashik,No,3424.441305712492,See ASN-16124 (ID#:20321),193.28,548
3074,20371,108-VN-T30,FPQ-9577,SCMS-145530,ASN-16123,Vietnam,PMO - US,Direct Drop,EXW,Air,4/11/12,6/12/12,9-Oct-12,9-Oct-12,9-Oct-12,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),hydroxychloroquine 200mg po daily,Lamivudine/Nevirapine/Zidovudine,Generic,30/50/60mg,Chewable/dispersible tablet - FDC,60,1302,5403.3,4.15,0.07,Mylan (formerly Matrix) Nashik,Yes,4587,11252.53,7.58,522
3075,20383,106-HT-T30,FPQ-9636,SCMS-148370,ASN-16472,Haiti,PMO - US,Direct Drop,EXW,Ocean,5/14/12,7/3/12,20-Dec-12,20-Dec-12,20-Dec-12,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Eye gtts,Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,34080,318648.0,9.35,0.16,Mylan (formerly Matrix) Nashik,Yes,4726,7208.11,446.74,682
3076,20407,116-ZA-T30,FPQ-12522,SCMS-199289,ASN-28036,South Africa,PMO - US,Direct Drop,DDP,Truck,7/11/13,8/29/14,29-Aug-14,29-Aug-14,29-Aug-14,ARV,Adult,S. BUYS WHOLESALER,some other vitamins and supplements.,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,627,13051.03,20.82,0.69,Hetero Unit III Hyderabad IN,Yes,3424.441305712492,Freight Included in Commodity Cost,16.14,838
3077,20417,116-ZA-T30,FPQ-14942,SCMS-259079,ASN-33851,South Africa,PMO - US,Direct Drop,DDP,Truck,9/11/14,10/9/14,24-Aug-15,24-Aug-15,24-Aug-15,ARV,Adult,PHARMACY DIRECT,BARICITINIB,Efavirenz,Generic,600mg,Tablet,30,42,507.93,12.09,0.4,"Aurobindo Unit III, India",Yes,3424.441305712492,Freight Included in Commodity Cost,0.52,793
3078,20432,161-ZA-T30,FPQ-7175,SCMS-103390,ASN-12169,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/11,3/24/11,10-Oct-11,3-Nov-11,3-Nov-11,ARV,Adult,Aurobindo Pharma Limited,pepcid 20 mg twice a day,Efavirenz,Generic,600mg,Tablet,30,106589,480716.39,4.51,0.15,"Aurobindo Unit III, India",Yes,9061,9323.3,793.18,448
3079,20450,101-CD-T30,FPQ-12093,SCMS-189070,ASN-20218,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,4/23/13,5/17/13,28-Nov-13,28-Nov-13,3-Dec-13,ARV,Pediatric,Aurobindo Pharma Limited,prempro,Didanosine,Generic,125mg,Delayed-release capsules,30,171,1453.5,8.5,0.28,"Aurobindo Unit III, India",Yes,81,2782.94,1.8,185
3080,20462,104-CI-T30,FPQ-5209,SCMS-75381,ASN-7842,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,2/25/10,6/7/10,8-Sep-10,8-Sep-10,8-Sep-10,HRDT,HIV test,"Orgenics, Ltd",Aspirin 81 MG  EC tablet 1 po qd; buPropion 300 MGXL tablet 1 po qd; cholecalciferol 1000 UNIT tablet po qd; escitalopram 10 MG 1 po qd; estradiol 0.5 MG tablet 1 po qd,"HIV 1/2, Determine HIV Kit, without Lancets",Determine,,Test kit,100,3000,233100.0,77.7,0.78,Inverness Japan,Yes,680,11463.46,502.56,765
3081,20506,108-VN-T30,FPQ-15692,SCMS-281650,ASN-32442,Vietnam,PMO - US,Direct Drop,EXW,Air,1/28/15,3/19/15,7-Jul-15,7-Jul-15,7-Jul-15,ARV,Adult,HETERO LABS LIMITED,ashwagandha,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,17300,54495.0,3.15,0.1,Hetero Unit III Hyderabad IN,Yes,1320,2730.91,64.14,20
3082,20512,107-RW-T30,FPQ-13853,SCMS-235960,ASN-27544,Rwanda,PMO - US,Direct Drop,EXW,Air,3/25/14,4/29/14,22-Aug-14,22-Aug-14,26-Aug-14,ARV,Pediatric,EMCURE PHARMACEUTICALS LTD,Pimavanserin,Atazanavir,Generic,200mg,Capsule,60,1411,46563.0,33.0,0.55,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,145,1950.74,47.87,604
3083,20544,114-UG-T30,FPQ-15314,SCMS-264740,ASN-30492,Uganda,PMO - US,Direct Drop,EXW,Air,11/11/14,12/4/14,27-Feb-15,27-Feb-15,1-Mar-15,HRDT,HIV test,"Orgenics, Ltd",Breo Ellipta 200/25,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,4872,389760.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1978,16876.25,458.75,623
3084,20558,101-CD-T30,FPQ-16001,SCMS-280220,ASN-32231,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,3/10/15,3/17/15,23-Jul-15,23-Jul-15,29-Jul-15,HRDT,HIV test,"Orgenics, Ltd",tamsulosin 0.4 mg,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,100,8000.0,80.0,0.8,"Alere Medical Co., Ltd.",No,3424.441305712492,See ASN-32231 (ID#:13648),9.42,763
3085,20560,105-GH-T30,FPQ-13872,SCMS-235810,ASN-27124,Ghana,PMO - US,Direct Drop,FCA,Air,3/24/14,4/23/14,6-Aug-14,6-Aug-14,15-Aug-14,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Femara,Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,448,2661.12,5.94,0.1,ABBVIE Ludwigshafen Germany,Yes,63,1317.82,2.74,559
3086,20619,109-TZ-T30,FPQ-12197,SCMS-189361,ASN-21237,Tanzania,PMO - US,Direct Drop,EXW,Air,4/30/13,5/29/13,16-Sep-13,16-Sep-13,16-Sep-13,HRDT,HIV test,"Standard Diagnostics, Inc.",Mirtazapine,"HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,2500,200000.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1036,17579.56,247.4,623
3087,20623,116-ZA-T30,FPQ-14942,SCMS-259071,ASN-29597,South Africa,PMO - US,Direct Drop,DDP,Truck,9/11/14,11/28/14,28-Nov-14,28-Nov-14,28-Nov-14,ARV,Adult,PHARMACY DIRECT,Progesterone,Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,121,1671.82,13.82,0.46,Mylan (formerly Matrix) Nashik,No,3424.441305712492,Freight Included in Commodity Cost,1.72,540
